,Title,Year,Page Number,Subject
1785,"  Indian Industrial Commission, 1916-18 : report.",1980,178.0,Industry
1789,  Mineral industries for India a lecture delivered to the South Indian Association,1905,178.0,Industry
1790,  The industrial survey of India and the measures required to make its results available for the purposes of commerce.,1872,179.0,Industry
1793,  Atlas of traffic maps,1925,179.0,Industry
1794,"  A Map shewing the situation of the White Cloth-Hall at Gomersall and the roads leading from thence, also the different Manufactories in a circuit of 8 miles. J. Mann delint., J. Butterworth sculpt. [1775?]",1930,179.0,Industry
1796,"  Trade of India : report on the conditions and prospects of British trade in India, at the close of the war",1919,179.0,Industry
1797,  Report on the vegetable oil seeds and associated industry of the Punjab,1926,179.0,Industry
1798,"  Presidential address : Industrial Conference, Allahabad, 1910.",1910,179.0,Industry
1799,  Electricity in India : being a history of the Tata Hydro- Electric Project : with notes on the mill industry in Bombay and the progress of electric drive in Indian factories,1912,179.0,Industry
1800,"  Report, Indian Industrial Commission, 1916-18.",1918,180.0,Industry
1816,  Rules for the grant of licenses to explore and prospect for minerals and of mining leases.,1895,181.0,Industry
1817,"  History of Massachusetts industries : their inception, growth, and success",1930,181.0,Industry
1818,  Pigot and Co's commercial directory for the county of Cheshire 1834.,1982,181.0,Industry
1819,"  Mackie's Bolton directory, with almanack, for 1849.",1983,181.0,Industry
1825,"  India's industrial problems : being the presidential address at the Calcutta Industrial Conference, 1917",1918,182.0,Industry
1826,  Revival of village industries in Russia,1918,182.0,Industry
1828,"  East India (factories) : return to an address of the Honourable the House of Commons, dated 3 February 1891, for, ""Copy of report of the recent Commission on Indian Factories.""",1891,182.0,Industry
1830,  Oil problem,1930,183.0,Industry
1831,  The Takli teacher,1926,183.0,Industry
1832,  The oil industry in India,1921,183.0,Industry
1833,"  Manual of rules relating to precious stones, minerals and mineral oils in force in Burma, on 1 January 1898.",1898,183.0,Industry
1834,"  The royal road to wealth, an illustrated history of the successful business houses of Philadelphia.",1870,183.0,Industry
1836,"  Prospectus of a new miscellany, to be published on the 1st day of February, 1800, (price eighteen-pence) and to be continued monthly, entitled The British magazine, consisting of original communications in history, philosophy, belles lettres, politics the arts, sciences, amusements, &c. In addition to which will be given an ample and interesting detail of public events, provincial occurrences, and other subjects of general importance.",1799,183.0,Industry
1837,  The cottage industries of Trichinopoly and how to develop them : being the answers issued in compliance with the request of the Government of Madras to their questionnaire of 1927 regarding cottage industry,1928,183.0,Industry
1838,"  Minutes of evidence, 1916-17. Vol. 1, Delhi, United Provinces and Bihar and Orissa",1917,183.0,Industry
1839,"  Report of the Indian Industrial Commission, 1916-18.",1918,183.0,Industry
1840,"  Industrial Great Britain A commercial review of leading firms selected from important towns of England. With illustrations of England's prominent edifices. Historical, statistical, biographical. This book complete in itself.",1895,184.0,Industry
1844,"  Prospectus of a new and very important periodical work for youth of both sexes, with useful and interesting prizes, value fifteen guineas per month. On Saturday, March 1, will be published, price one shilling, decorated with two, three, or four copper plates, no.I. (To be continued on the first day of the month) of the Monthly preceptor or, Juvenile museum of knowledge and entertainment, adapted to the capacities of young persons, and designed expressly as an improved class-book for the use of schools.",1800,184.0,Industry
1845,"  The Only pocket magazine. This day, February I, 1798, is published, price Is. Number XIII. (being the first number of the third volume) of the Monthly visitor, and pocket companion, for January 1798.",1798,184.0,Industry
1846,"  An Elegant and useful publication for the fair sex. Adapted for families and boarding schools. On Monday, July 2, 1798, will be published, in a convenient size for the pocket, fancifully done up in coloured paper, and embellished with, 1st, a portrait of Mrs. Hannah More, beautifully engraved by an eminent artist 2d, a superb coloured plate of the present fashionable dresses for the ladies. Number I. (price 1s.) of the Ladies' Monthly Museum or, polite repository of amusement and instruction: being an assemblage of whatever can tend to please the fancy, interest the mind, or exalt the character of the British fair. By a society of ladies. London: printed for the proprietors, and sold by Messrs. Vernor and Hood, in the Poultry, and by every bookseller in the three kingdoms. - Communications addressed to the editors, post paid, will be thankfully received.",1798,184.0,Industry
1849,  Evidence recorded during the enquiry regarding grant of protection to the cement industry.,1925,184.0,Industry
1850,"  Prospectus of the Analytical Review, or a new literary journal, on an enlarged plan containing scientific abstracts of important and interesting works, a general catalogue of such as are of ... consequence, with short characters notices, or reviews of all valuable foreign books criticisms on New Pieces of music and works of art and literary intelligence, foreign and domestic.",1788,185.0,Industry
1851,"  A New review, embellished with portraits, and illustrated by biography. Prospectus of the New London review or, monthly report of authors and books.",1798,185.0,Industry
1861,  Sussex industries : a series of articles on the principal and peculiar industries practised in Sussex.,1882,186.0,Industry
1863,  Paper & printing : the new technology of the 1830's,1982,186.0,Industry
1865,"  The romance of the lace pillow : being the history of lace-making in Bucks., Beds., Northants. and neighbouring counties, together with some account of the lace industries of Devon and Ireland",1971,186.0,Industry
1867,  'Good value and no humbug' : a discourse on some of the principal trades & manufactories of Manchester in 1892,1981,186.0,Industry
1868,"  Women and the trades : Pittsburgh, 1907-1908",1984,186.0,Industry
1869,"  David Pugh and David Lloyd : one hundred and fifty years, 1760-1910.",1910,186.0,Industry
1870,  The colonial empire of Great Britain : considered chiefly with reference to its physical geography and industrial productions,1864,187.0,Industry
1871,  The industrial development of India.,1930,187.0,Industry
1876,"  Fodinae Regales, or, The history, laws and places of the chief mines and mineral works in England, Wales, and the English Pale in Ireland : as also of the mint and mony with a clavis explaining some difficult words relating to mines, &c.",1982,187.0,Industry
1878,"  The Castleford Pottery pattern book, 1796",1973,187.0,Industry
1881,"  Inquiry into the policy and justice of the prohibition of the use of grain in the distilleries : including observations on the nature and uses of a vent to superfluous land-produce, and a particular application of the general question to the present situation of the colonial interests",1808,188.0,Industry
1882,"  Eastern Townships Mineral Association : exhibition of minerals, held at Sherbrooke, 18th January, 1865 : descriptive catalogue",1865,188.0,Industry
1883,"  Industries of Canada : historical and commercial sketches : Kingston, Prescott, Brockville, Belleville, Trenton, Picton, Gananoque, Sand Banks, and environs : its prominent places and people, representative merchants and manufacturers, its improvements, progress and enterprise : illustrated.",1887,188.0,Industry
1886,  Industrial crises : their causes and remedies,1879,188.0,Industry
1887,"  An Abstract of the evidence lately taken in the House of Commons, against the Orders in Council : being a summary of the facts there proved, respecting the present state of the commerce and manufactures of the country.",1812,188.0,Industry
1888,  Industries of Stirling and district.,1998,188.0,Industry
1889,"  A letter to Sir John Rose, Bart., K.C.M.G., on the Canadian copyright question",1872,188.0,Industry
1890,  The mineral industry of Queensland at the close of 1895,1895,189.0,Industry
1891,"  Printing in England in the fifteenth century : E. Gordon Duff's bibliography, with supplementary descriptions, chronologies and a census of copies",2009,189.0,Industry
1892,  A summary of the cottage industries in the districts of Bengal.,1923,189.0,Industry
1893,"  The oilseed crushing industry of the United Provinces, 1924-25",1926,189.0,Industry
1895,"  The new West : extending fromt he Great Lakes across plain and mountain to the golden shores of the Pacific : wealth and growth manufacturing and commercial interests historical, statistical, biographical.",1888,189.0,Industry
1896,"  Industries of Canada : historical and commercial sketches, Peterboro', Lindsay, Gravenhurst, Orillia, Millbrook, Uxbridge, Markham and environs : its prominient places and people, representative merchants and manufacturers, its improvements, progress and enterprise.",1887,189.0,Industry
1900,"  British Columbia, the most westerly province of Canada : its position, advantages, resources and climates : new fields for mining, farming, fruit growing and ranching along the lines of the Canadian Pacific Railway : information for prospectors, miners and intending settlers.",1900,190.0,Industry
1901,  A few observations upon the value and importance of our North American colonies,1838,190.0,Industry
1902,  Descriptive catalogue of a collection of the economic minerals of Canada,1886,190.0,Industry
1903,  British Columbia,1891,190.0,Industry
1904,  The mineral resources of British Columbia : practical hints for capitalists and intending settlers : with appendix containing the mineral laws of the province and the Dominion of Canada,1889,190.0,Industry
1905,"  Prince Arthur's Landing, or, Port Arthur, Ontario, Canada, ""the silver gate"" and her leading industries",1883,190.0,Industry
1906,  Constitution and by-laws,1890,190.0,Industry
1908,  Constitution and by-laws of the Kootenay Mining Protective Association.,1897,190.0,Industry
1909,"  A letter from Mr. John Reinhold Forster, F.R.S. to William Watson, M.D : giving some account of the roots used by the Indians, in the neighbourhood of Hudson's Bay, to dye porcupine quills.",1772,190.0,Industry
1910,"  Address of Joseph Shehyn, Esq., M.P.P., president of the Quebec Board of Trade : delivered at the meeting of the board, held on February 4th, 1880.",1880,191.0,Industry
1911,"  Hamilton and its industries : being a historical and descriptive sketch of the city of Hamilton and its public and private institutions, manufacturing and industrial interests, public citizens, etc.",1884,191.0,Industry
1914,"  Thomas Burt M.P., D.C.L., pitman & privy councillor : an autobiography.",1984,191.0,Industry
1917,  Derby : its industries & commerce : an account of Derby and its history also shewing [i.e. showing] the great facilities for trade & manufacturing.,1924,191.0,Industry
1919,  Rules and directions to be observed in printing-houses.,1988,191.0,Industry
1920,  The coal mines of Nova Scotia : the government's scheme for extending the coal trade,1893,192.0,Industry
1921,"  Industries of Canada : City of Montreal : historical and descriptive review, leading firms and moneyed institutions.",1886,192.0,Industry
1923,  Economics of protection in India : Banaili Readership lectures delivered at Patna University in 1928,1929,192.0,Industry
1925,  India in the labour world.,1921,192.0,Industry
1927,"  National commercial directory. Durham, Northumberland, Yorkshire.",1994,192.0,Industry
1928,"  Kerwood turning and bending factory : revised price list no. 10, for 1891-2 : S.P. Morgan, manufacturer and dealer in wood turning and bent stuff, Kerwood, Ont.",1891,192.0,Industry
1929,"  Statement, supplementary and explanatory, in connection with the petition of fifty-one booksellers of Canada West against the alleged interference with their trade of the superintendent of education through his mode of working the Educational Depository ..",1858,192.0,Industry
1930,  Colonial and Indian Exhibition of 1886 : a revelation of Canada's progress and resources : extracts from British and colonial journals.,1887,193.0,Industry
1931,"  A few remarks on the danger of giving greater facilities to distillation, as testified by past experience, and an appeal to the public for co-operation in the temperance movement : in an address to Mr. Wilson, distiller, N.S., and respectfully submitted to the perusal of the honorable members of the provincial legislature ...",1849,193.0,Industry
1933,  Catalogue of records at Stationers' Hall.,1926,193.0,Industry
1934,  The Daniel Press : memorials of C.H.O. Daniel,1974,193.0,Industry
1937,  Two lectures on machinery : delivered before the University of Oxford in 1844,1971,193.0,Industry
1944,"  The Province of Ontario as it is : containing manufacturing, commercial, statistical and other valuable information.",1877,194.0,Industry
1947,  Industry of the Rhine : Series I: Agriculture. Series II: Manufactures.,1969,194.0,Industry
1951,"  Report of conferences : League of Nations Mixed Committee of Experts on Coal held at Geneva on Monday September 30th 1929 also International Labour Office preparatory technical conference on conditions of labour in the coal mining industry Geneva, January 1930 also report submitted to the governing body of the International Labour Office.",1930,195.0,Industry
1956,"  Map of Saginaw Valley, exhibiting preliminary Rail Road Lines, location of Salt Works and Lumber Mills, Fisheries ... Compiled, drawn and published by B.F. Bush.",1870,195.0,Industry
1964,  Industries of the Patna Division.,1908,196.0,Industry
1965,  Directory of Indian industries,1906,196.0,Industry
1966,  Enquiries regarding Indian oilseed crops,1930,196.0,Industry
1967,  A manual of jail industries.,1895,196.0,Industry
1968,"  Gospel of swadesh : address on the opening ceremony of the Lahore Exhibition, 1929, organised by the 44th [i.e. 45th] Session of the Indian National Congress, December 20, 1929",1930,196.0,Industry
1970,  March of industry,1929,197.0,Industry
1971,"  Historical and descriptive review of the industries of Sacramento, 1886 : commerce, trade and manufactures, manufacturing advantages, business and transportation facilities, together with sketches of the representative business houses and manufacturing establishments in the city.",1886,197.0,Industry
0,"  The printer's job price book, containing the master printer's charges to the public for various descriptions of jobs, together with tables giving the quantity of paper required for each job.",1824,,Industry
1,"  The linen manufacturer, weaver, and warper's assistant, containing a new and correct set of tables, drafts, cordings, arithmetical rules and examples,...",1822,,Industry
2,"  The brewers' and licensed victuallers' guide, containing upwards of one hundred and thirty most valuable receipts for brewing ales, porter, and black beer, and the managing of brandy, rum, and gin, also for making cider, British compounds, cordials, beverages, vinegar, &c. &c.",1849,,Industry
3,"  A Concise treatise on the cultivation of flax, and on the operations and machinery employed in its manufacture.",1852,,Industry
4,"  Drug manufacture : what it means : an opportunity for Indian capitalists, also for Indian youths trained in applied science",1918,,Industry
5,  Indigo and its enemies or facts on both sides.,1861,,Industry
7,  The printer's price list,1980,,Industry
8,"  The coco-nut palm, its uses and cultivation:... as adapted for the general benefit in our West Indian and African colonies...",1836,,Industry
9,  A hand-book of common salt,1877,,Industry
10,"  [Advertisement card for Trusson's shirts, approximately 1885].",1885,,Industry
11,"  Catalogue of the British section. Containing a list of the exhibitors of the United Kingdom and its colonies, and the objects which they exhibit. In English, French, German, and Italian. With statistical introductions, and an appendix ... together with a list of the awards made to British and Colonial exhibitors by the International Jury.",1868,,Industry
12,  Report of the Bombay School of Industry. Established 25th May 1850.,1857,,Industry
13,  Statements respecting the method and cost of producing coke from turf.,1850,,Industry
14,  No'but and ne'er heed.,1865,,Industry
15,"  The Printers' Pension, Almshouse and Orphan Asylum Corporation. Trustees ...",1880,,Industry
16,"  [Trade card for Whittmann & Cole, printers & stationers, approximately 1890].",1890,,Industry
17,"  The History of a Lump of Iron, etc.",1884,,Industry
18,"  The Mechanical and other properties of Iron and Steel, in connection with their chemical composition.",1891,,Industry
19,  Modern Copper Smelting ... Seventh edition ... enlarged.,1895,,Industry
20,"  Observations, shewing the real value of rolled iron for free trade",1860,,Industry
21,  Galvanized Iron. Its manufacture and uses. A detailed description of this important industry and its manufacturing process.,1899,,Industry
22,"  A History of Wednesbury, in the County of Stafford ... embracing an account of the Coal and Iron Trade.",1854,,Industry
23,"  Memorial of the Iron Manufacturers of New England, asking for a modification of the tariff of 1846.",1850,,Industry
24,  On Copper Smelting.,1858,,Industry
25,  Notes on early iron-smelting in Sutherland.,1887,,Industry
27,  Gunny export,1922,,Industry
29,"  A List of prices. W. Betts. From Sheffield, saw manufacturer ...",1835,,Industry
30,  A Hundred Years of Gas Enterprise,1901,,Industry
31,  A monograph on the silk fabrics of Bengal,1976,,Industry
34,"  The complete indigo-maker. Containing, an accurate account of the indigo plant its description, culture, preparation, and manufacture. With œconomical rules and necessary directions for a planter how to manage a plantation, and employ his negroes to the best advantage. To which is added, a treatise on the culture of coffee.",1769,,Industry
36,"  [Advertisement card for Freeman's digestive egg powder, 1885].",1885,,Industry
37,"  The Art of breeding, rearing, and keeping silkworms, so that they may prove profitable to those who undertake their management. To which is prefixed, some account of the origin of the silk manufacture. Embellished with a fine engraving, copied from nature, exhibiting the whole natural progress of this remarkable insect also, instructions for cultivating mulberry trees.",1854,,Industry
38,  Report on the production and manufacture of beet sugar,1892,,Industry
39,  India rubber and gutta percha : being a compilation of all the available information respecting the trees yielding these articles of commerce and their cultivation : with notes on the preparation and manufacture of rubber and gutta percha,1882,,Industry
40,  The railroad question.,1975,,Industry
41,  At the works : a study of a manufacturing town (Middlesbrough),1969,,Industry
42,"  A letter to the Right Honorable the Earl of Elgin, Governor General of India, on the rent question in Bengal.",1863,,Industry
43,"  A declaration of the estate of clothing now vsed within this realme of England. 1 The royaltie and benefit of wooll and woollen cloth. 2 The condition of the makers, being two sorts. 3 The antiquitie and power of the alneger. 4 The manner of search and searchers, now vsed. 5 The seuerall faults and abuses practised in cloth. 6 The inconuenience and hurt by the abuses. 7 The remedie to be made by the alnegers prouision. VVith an apologie for the alneger, shewing the necessarie vse of his office.",1613,,Industry
44,"  Report on the cultivation of, and trade in, jute in Bengal, and on Indian fibres available for the manufacture of paper.",1874,,Industry
45,"  An essay on vvool, and woollen manufacture, for the improvement of trade, to the benefit of landlords, feeders of sheep, clothiers, and merchants. In a letter to a Member of Parliament. Imprimatur, Decemb. 31. 1692. Edmund Bohun.",1693,,Industry
46,"  Indian cotton supply, the only effectual and permanent measure for relief to Lancashire.",1863,,Industry
47,"  England's interest asserted, in the improvement of its native commodities and more especially the manufacture of wool: plainly shewing its exportation un-manufactured, amounting unto millions of loss to His Majesty, and kingdom. With some brief observations of that worthy author Sir Walter Rawley, touching the same. All humbly presented to His Majesty, and both Houses of Parliament.",1669,,Industry
48,  Os Caminhos do Amor,1943,,Industry
51,  Report of the Indian Tariff Board regarding the grant of protection to the magnesium chloride industry : including the evidence recorded during the enquiry.,1925,,Industry
53,"  The Iron Ores of Great Britain and Ireland, their mode of occurrence, age and origin ... with a notice of some of the iron ores of Spain, etc.",1893,,Industry
58,  The Manufacture of iron in Great Britain with remarks on the employment of capital in iron-works and collieries.,1857,,Industry
59,"  A Series of letters on the improved mode in the cultivation and management of flax with various rules and instructions on the value and qualities of flax adapted to spin into the different numbers of yarns also several tables calculated to guide the merchant in his purchases, and the manufacturer in the most correct method of giving out yarns to be wove into linens, lawns, drills, sheeting, damasks, diaper, and handkerchiefs added to this examples are given, shewing to a fraction the exact expense of manufacturing the various articles made from flax and tow yarns, and the method of counting the warp and weft in a piece or web.",1846,,Industry
60,"  Proposals humbly submitted to the consideration of the Court of Directors for affairs of the United Company of Merchants of England Trading to the East-Indies, for improving and increasing the manufactures of silk in Bengal ...",1773,,Industry
61,  The early history of brass and the brass manufactures of Birmingham ...,1866,,Industry
62,"  A Treatise on the cultivation and growth of hops, in the Kent style: showing the choice of land most suitable for the growth of hops the method of setting-out the description of set most beneficial, and quantity required per acre mode of culture, manuring, poling, and general treatment during their growth with remarks on drying and bagging",1855,,Industry
63,  The Present Technical Condition of the Steel Industry of the United States.,1885,,Industry
64,  Radnor Forges : a souvenir : with the compliments of the Canada Iron Furnace Co. Ltd.,1893,,Industry
69,  A Treatise on the process and manufacture of fine indigo,1832,,Industry
73,  The Sovereigns of industry,1875,,Industry
74,"  On the great Perran Iron Lode ... With a map of the district. From the Report of the Miners' Association of Cornwall and Devon, etc.",1874,,Industry
75,  Merton of the Movies.,1922,,Industry
77,"  A Memoir of the York Press, with notices of authors, printers, and stationers, in the sixteenth, seventeenth, and eighteenth centuries.",1868,,Industry
78,"  The linnen and woollen manufactory discoursed: with the nature of companies and trade in general: and particularly, that of the company's for the linnen manufactory of England and Ireland. With some reflections how the trade of Ireland hath formerly, and may now affect England. Printed at the request of a peer of this realm.",1691,,Industry
80,  Nelson's home comforts...,1892,,Industry
81,"  A vindication of the broad cloth weavers. Being, the journeymens answer to Mr. Textor's letter in the sixteenth Censor. Number I.",1749,,Industry
82,"  The whole proceedings on the trial of an indictment against Joseph Hanson ... for a conspiracy to aid the weavers of Manchester in raising their wages, before Mr. Justice Le Blanc, one of the judges of His Majesty's court of King's Bench, and a special jury, at the Lancaster Spring Assizes, 1809. Taken in shorthand by Mr. Jones ...",1809,,Industry
83,"  Letters from India and Ceylon, including the Manchester of India, the Indian Dundee, and Calcutta jute mills ... 1895-96. Reprinted from the “Dundee Advertiser.”.",1896,,Industry
84,  Shirley : a tale,1849,,Industry
85,"  [On the Indian Hills or, Coffee-planting in Southern India.]",1893,,Industry
86,"  ""Branded goods"" : textile section : a complete register of branded goods in the textile & associated trades compiled from the official records covering all goods employed in manufacturing & handling by draper & outfitter.",1924,,Industry
87,  Minute by the Lieutenant-Governor of Bengal [Sir J.P. Grant] on the Report of the Indigo Commission ... of 1860.,1861,,Industry
88,"  A copy of the report of an essay of bread made in the year 1669, by order of the then Court of Aldermen. With some remarks, which were made on passing the Act of 31st of George II. entitled, An act for the due making of bread, and to regulate the price and assize thereof &c. Which shew, that the said essay was not made according to the then bread-table. With a Comparison of that Table with the Tables of the 8th of Anne and 31 George II. To which is added, an appendix, by Way of Attempt to explain the Table in the said Statute of 51st of Henry III.",1758,,Industry
89,  Reasons for a limited exportation of vvooll.,1677,,Industry
90,"  A method most humbly proposed, to prevent the running of wooll from Ireland to foreign parts. Together with some observations thereupon, and answers to objections that may be made: as also, an expedient to relieve the decaying woollen manufacture of Great-Britain.",1739,,Industry
91,"  Observations upon the export trade of tin and copper to India, with reference to the expected renewal of the Honorable East India Company's Charter and also upon the present state of the tin trade with Europe and its colonies, Africa and America respectfully submitted to the consideration of the noblemen and gentlemen concerned in the mining interest in Cornwall.",1811,,Industry
92,"  That the bringing on boards above, and paying the plank with stuff under a mill'd-lead-sheathing, is damageable, more charge, and altogether unnecessary plainly prov'd from experience as well as reason.",1697,,Industry
93,"  The rules and premiums of the Society for the Encouragement of Agriculture and Industry, in the county of Cardigan, for the year 1798. To which are added the names of the subscribing members, with their annual subscriptions, and, an account of the adjudged premiums, &c. for the last year.",1798,,Industry
96,"  A letter to the Right Honourable William Pitt ... relating to the abuses practised by bakers ... in consequence of a pamphlet, intitled, Poison detected, etc. [By Peter Markham.]",1757,,Industry
97,  Trade Unionism and Munitions.,1923,,Industry
99,"  Reasons for continuing the duty of eight pence upon each one hundred and twenty pounds weight of rock-salt, without allowing a draw-back upon refining the same by comparing the brine-salt made at Northwitche in Cheshire, with the salt-rock refined at the Dungeon near Leverpoole in Lancashire.",1697,,Industry
101,  Abstract of His Majesty's patent for improving fisheries and manufactures in Scotland. Published by order of the trustees.,1727,,Industry
103,"  By the Lord Deputy and Council. Tyrconnell. Whereas an act of council past at this board, dated the second day of May 1687. Which act of council followeth in these words By the Lord Deputy and Council, Tyrconnel. Whereas a petition was presented at this board on the behalf o the merchant traders and dealers, and other his Majesties subjects in this kingdom, setting forth that the chief governours and council of this kingdom had for several years ... dispensed with several provisoes ... for settling the subsidy of tunnage ...",1687,,Industry
108,"  A discourse of the growth of England in populousness and trade since the Reformation. Of the clerical revenue, and the same asserted to be reasonable and necessary here. Of the numbers of the people of England, founded on the poll bills, and the bishops survey, in the year 1676. Of the Bills of mortality, and political observations thereon. Of the necessity of future publick taxes for the support of the government and our religion. Of the advancement of the linen manufacture with an account of the linen cloaths, canvas, linen-yarn, hemp, flax, and cordage, imported into the port of London from Holland, Flanders, Germany, France, Eastland, Russia, Scotland, East Indies, from Mich. 1688. to Mich. 1689. With various political remarks and calculations relating to most parts of Christendom. Shewing likewise from natural causes the impossibility of the advancement of popery (and consequently the folly of those that attempt to restore it) in England: with some observations on the Jesuites principles favouring fraud and calumny. Therein also is largely discuss'd that papal tenet of the lawfulness of burning heretical cities. By way of letter to a person of honour.",1689,,Industry
109,  The vested interests,2002,,Industry
111,  Catalogue of printing presses and printers' materials,1980,,Industry
112,"  Industries of the north : one hundred years ago : industrial and commercial life in the north of Ireland,1888-91 : incorporating Industries of Ireland, Part 1. Belfast & the towns of the north and selected extracts from Pictorial world 1888-9",1986,,Industry
115,  The economics of industry,1994,,Industry
116,"  Treatise on the coloring matters derived from coal tar : their practcal application in dyeing cotton, wool, and silk : the principles of the art of dyeing and the distillation of coal tar : with a description of the most important new dyes now in use",1863,,Industry
118,"  The harmony of interests, agricultural, manufacturing, and commercial.",1851,,Industry
119,  Studies in the Economics of Overhead Costs.,1923,,Industry
120,"  Handbook to the Industrial Department of the International Exhibition, 1862.",1862,,Industry
121,  Industrial Instruction on the Continent. Being the introductory lecture of the Session 1852-1853. By Lyon Playfair.,1852,,Industry
122,  The Instinct of Workmanship and the state of the industrial arts.,1914,,Industry
124,"  Hodson's booksellers, publishers and stationers directory, 1855 : a facsimile of the copy in the Bodleian Library, Oxford.",1972,,Industry
125,  Fine books,1912,,Industry
126,  Industrial rivers of the United Kingdom,1888,,Industry
127,  The basis for artistic and industrial revival in India,1912,,Industry
129,"  A General guide to the companies formed for working foreign mines, with their prospectuses, amount of capital, number of shares, names of directors, &c. and an appendix, showing their progress since their formation, obtained from authentic sources with a table of the extent of their fluctuations in price, up to the present period.",1825,,Industry
130,"  A Compendium of useful information relating to the companies formed for working British mines, containing copies of the prospectuses, amount of capital, number of shares, names of directors, &c. With general observations on their progress, detailing their operations, mines in their possession, and original information, obtained from authentic sources and a table of the payments made, fluctuations in price, &c., up to the present period.",1826,,Industry
131,  Industrial organization in the sixteenth and seventeenth centuries,1904,,Industry
133,"  The industrial Punjab : a survey of facts, conditions and possibilities",1911,,Industry
134,  The guilds of Florence ...,1906,,Industry
135,"  [The Exposition of 1851: or, Views of the industry, the science, and the government of England.]",1851,,Industry
136,  Industrial India.,1905,,Industry
138,  The history and progress of mining in the Caradon and Liskeard districts,1863,,Industry
139,"  The industries of Scotland : their rise, progress and present condition : a reprint of the classic work by David Bremner",1969,,Industry
142,"  Pigot & Co's Commercial Directory for Derbyshire, 1835.",1976,,Industry
143,  View of the Greenland Trade and Whale-Fishery.,1980,,Industry
144,"  The results of machinery, namely, cheap prodution and increased employment, exhibited: being an address to the working-men of the United Kingdom.",1831,,Industry
146,  Our Cuban colony. A study in sugar.,1928,,Industry
149,  The United States in the Orient : the nature of the economic problem.,1900,,Industry
151,"  The rural industries of England & Wales : a survey made on behalf of the Agricultural Economics Research Institute, Oxford",1977,,Industry
152,"  General view of the agriculture of Northumberland, Cumberland and Westmorland.",1972,,Industry
154,"  [Province of British Columbia, information for intending settlers].",1886,,Industry
159,"  On industrial, educational, and scientific progress in the North of Ireland: being an address, delivered at the opening of the Twenty-ninth Session of the Belfast Natural History & Philosophical Society.",1849,,Industry
162,  The importance of Java seen from the air : a book devoted to the interests of the Island of Java,1930,,Industry
167,  General view of the agriculture of Hertfordshire. A reprint of the work drawn up for the consideration of the Board of Agriculture and Internal Improvement.,1971,,Industry
172,  Absentee ownership : business enterprise in recent times : the case of America,2017,,Industry
173,  Ensayo político sobre el reino de la Nueva-Espã︠na,1822,,Industry
0,"  The emporium of commercial training : devoted to book-keeping, accountancy, banking, bills, machinery of business, general commercial knowledge, correspondence, terms and phrases, commercial law, geography, etc. Vol. 2.",1909,0.0,Commerce
1,  Secrets of the commercial world.,1929,0.0,Commerce
2,"  Traders in East and West. Some aspects of trade in the seventeenth and eighteenth centuries, illustrated from the sources.",1924,0.0,Commerce
5,"  The Natural History of Commerce. With a copious list of Commercial Terms and their synonymes in several languages, etc.",1870,0.0,Commerce
7,"  A dictionary of trade products, commercial, manufacturing, and technical terms : with a definition of the moneys, weights, and measures of all countries, reduced to the British standard",1863,0.0,Commerce
8,  The commerce clause of the Federal Constitution,1987,0.0,Commerce
10,"  An Historical and Chronological Deduction of the Origin of Commerce, from the earliest accounts to the present time. Containing an history of the great commercial interests of the British Empire ... With an appendix, containing the modern politico-commercial geography of the several countries of Europe.",1764,1.0,Commerce
11,"  A Dictionary ... of Commerce, etc. New edition ... edited by H. G. Reid. (Supplements ... to show the progress of British Commercial Legislation down to 1870, etc.).",1558,1.0,Commerce
12,"  The connection between literature and commerce : in two essays, read before the Literary and Historical Society of Toronto",1845,1.0,Commerce
17,  Some evidences of commercial transactions in prehistoric times,1885,1.0,Commerce
18,"  A Dictionary of Trade Products, commercial, manufacturing, and technical terms with a definition of the moneys, weights, and measures of all countries, reduced to the British Standard.",1858,1.0,Commerce
19,"  Report to J. Edgar Thomson, President of the Pennsylvania Railroad Company, submitting results of observations concerning the tendencies of trade towards the seaboard through the West, north of the Ohio River.",1852,1.0,Commerce
21,  Commerce and Statistics. Being a reprint of four papers read and written at various times.,1915,2.0,Commerce
22,  Modern trade : inland and foreign,1929,2.0,Commerce
23,  Belgium and her commercial developments.,1909,2.0,Commerce
24,"  Report of the Committee of the Toronto Board of Trade, your committee regret that several causes have concurred ..",1841,2.0,Commerce
25,  Handbook of commercial information for India,1919,2.0,Commerce
26,"  [Circular] : when we issued our last printed circular of the 23d of April, we were in hopes that our markets would assume a steady and firm character for the most important articles of exportable produce ...",1831,2.0,Commerce
27,"  [Circular] : the year which has just terminated has been one of almost unexampled difficulty and embarrassment among the great bulk of the mercantile community in the Canadas, owing principally to the cholera ...",1833,2.0,Commerce
28,  Circular : on the opening of the navigation last year the prices obtained for every article of produce .,1833,2.0,Commerce
29,  Indian trade statistics.,1925,2.0,Commerce
30,  Business prospects in India.,1915,3.0,Commerce
31,  The commerce of India.,1871,3.0,Commerce
32,"  Anno regni Georgii IV britanniarum regis tertio : at the Parliament begun and holden at Westminster, the twenty-first day of April, Anno Domini 1820, in the first year of the reign of Our Sovereign Lord George the Fourth, by the grace of God, of the United Kingdom of Great Britain and Ireland, King, Defender of the Faith and from thence continued, by prorogation, to the fifth day of February, 1822, being the third session of the seventh Parliament of the United Kingdom of Great-Britain and Ireland.",1823,3.0,Commerce
